,Sentence,PreprocessedSentence,Sentiment,PeopleInitially,People,OrganizationsInitially,Organizations,PricesInitially,Prices
278,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,lulu outlook q lose revenue range of million to million not good,negative,['LULU'],[],[],[],['$12 million to $17 million'],['$12 million to $17 million']
279,Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,mobile communication wireless broadband provider nokia inc nyse nok today set new financial target forecast for nokia mobile device industry also for nokia siemens network mobile fix infrastructure related service market,neutral,[],[],"['Nokia Inc', 'NOK', 'Nokia', 'Nokia Siemens Networks']","['Nokia Inc', 'Nokia Siemens Networks', 'Nokia', 'NOK']",[],[]
280,"POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering .",poyry plc additional information by heikki malinen president ceo poyry plc tel poyry be global expert consulting engineering,neutral,['Heikki Malinen'],['Heikki Malinen'],"['POYRY PLC', 'Poyry PLC']","['Poyry PLC', 'POYRY PLC']",[],[]
281,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,danish company flsmidth have acknowledge that it have violate patent hold by finnish metso,neutral,[],[],"['FLSmidth', 'Finnish Metso']","['FLSmidth', 'Finnish Metso']",[],[]
282,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,amanda capital have investment private equity fund over unquoted company mainly europe,neutral,[],[],['Amanda Capital'],['Amanda Capital'],[],[]
283,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",net interest income be eur mn up from eur mn,positive,[],[],"['EUR', 'EUR']",[],[],"['EUR 32.7 mn', 'EUR 39.3 mn']"
284,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",jp morgan expect that scala lower nobel biocare growth forecast for from current guidance of pct as well as operate margin target from current pct,neutral,['Scala'],[],['JP Morgan'],['JP Morgan'],[],[]
285,Aviva promises higher dividends to boost flagging share price,aviva promise high dividend to boost flagging share price,positive,[],[],[],[],[],[]
286,"In addition , MIDs are always online and enable full Internet browsing .",addition mid be always online enable full internet browsing,neutral,[],[],[],[],[],[]
287,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",fiskar have strong portfolio of international brand which include fiskar iittala gerber silva buster,positive,[],[],['Fiskars'],['Fiskars'],[],[]
288,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,tesla model x recall add to reliability issue tsla,negative,"['Model X Recall', 'TSLA']",['Model X Recall'],[],[],[],[]
289,The name of the buyer was not disclosed .,name of buyer be not disclose,neutral,[],[],[],[],[],[]
290,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,net sale of vegetable oil business rise to eur mn from eur mn,positive,[],[],"['the Vegetable Oil Business', 'EUR', 'EUR']",['the Vegetable Oil Business'],[],"['EUR 10.1 mn', 'EUR 10.6 mn']"
291,"Under the agreement Benefon 's forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",under agreement benefon forthcoming range of twig integrate gps navigation mobile phone device use jointly develop webbase tracking location technology both consumer commercial application,neutral,['Benefon'],[],['TWIG'],['TWIG'],[],[]
292,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",follow this increase huhtamaki register share capital be eur m number of share outstanding be,neutral,[],[],['Huhtamaki'],['Huhtamaki'],[],['EUR360 .62 m']
293,"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",three year turnaround program be expect to ensure salomon future competitiveness company say,positive,[],[],['Salomon'],['Salomon'],[],[]
294,"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",autumn it plan to expand service to st petersburg moscow launch service to yekaterinburg russia fly there three time week,positive,[],[],[],[],[],[]
295,"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",company profit total ls h down yearonyear,negative,[],[],[],[],[],[]
296,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,federal secretary for transport communication of mexico have award poyry its mexican partner sintra consult contract connection with buenavistacuautitlan suburban railway,positive,[],[],"['Transport and Communication of Mexico', 'Poyry', 'Sintra', 'Buenavista-Cuautitlan']","['Poyry', 'Sintra', 'Transport and Communication of Mexico', 'Buenavista-Cuautitlan']",[],[]
297,The order is included in Metso 's fourth quarter 2007 order backlog .,order be include metso fourth quarter order backlog,neutral,[],[],['Metso'],['Metso'],[],[]
298,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,lieksaare oy have early be regard under control of saarelainen oy individual shareholder under shareholder agreement,neutral,['Saarelainen Oy'],[],['Lieksaare Oy'],['Lieksaare Oy'],[],[]
299,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",ragutis which be control by finnish brewery report percent rise beer sale to million litre hold percent market share,positive,[],[],[],[],[],[]
300,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,mcp roll over for new intraday low bottom picker continue to get destroy,negative,"['mcp', 'Bottom Pickers']",['Bottom picker'],[],[],[],[]
301,The company has an annual turnover of EUR32 .8 m.,company have annual turnover of eur m,neutral,['.8 m.'],['.8 m.'],[],[],[],['EUR32 .8 m']
302,It has80 branches in Finland with annual revenue in Finland of ?,it have branch finland with annual revenue finland of ?,neutral,[],[],[],[],[],[]
303,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",portfolio comprise of m of leasable space with vacancy rate of roughly let to around tenant of which two of large be swedish government ericsson,neutral,[],[],[],[],[],[]
304,The medium-term operative targets of the company remain unchanged .,mediumterm operative target of company remain unchanged,neutral,[],[],[],[],[],[]
305,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",adp news feb finnish retailer kesko oyj hel kesbv say today its total sale exclude value add tax vat stand at eur million usd m january down yearonyea,negative,"['Kesko Oyj', 'KESBV']",[],"['adp News - Feb 13', 'vat', 'EUR']","['vat', 'adp News - Feb 13']",[],"['EUR 661.3 million', 'USD 853.1 m']"
306,`` Consumers have very well received our packed fresh meat .,consumer have very well receive our pack fresh meat,positive,[],[],[],[],[],[]
307,The corrected chapter is in its entirety below .,correct chapter be its entirety below,neutral,[],[],[],[],[],[]
308,"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",major part of delivery include different ac cxe amplifier solution product by dinh telecom company acquire by teleste last spring,neutral,[],[],"['AC', 'CXE', 'DINH Telecom']","['CXE', 'AC', 'DINH Telecom']",[],[]
309,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",tietoenator itself use nokia intellisync mobile suite wireless email calendar device management capability company now extend these service to its customer,positive,[],[],"['TietoEnator', 'Nokia', ""Intellisync Mobile Suite 's""]","['TietoEnator', 'Nokia', ""Intellisync Mobile Suite 's""]",[],[]
310,It will provide heating in the form of hot water for the sawmill 's needs .,it provide heating form of hot water for sawmill need,neutral,[],[],[],[],[],[]
311,"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",however net sale decline to eur million from eur billion,negative,[],[],"['EUR', 'EUR']",[],[],"['EUR 803.6 million', 'EUR 1.2 billion']"
312,"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",second quarter of raute net loss narrow to eur from eur million same period of,positive,[],[],"['EUR', 'EUR']",[],[],"['EUR 1.5 million', 'EUR 123,000 ']"
313,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",dgi technical alert gilligan island buy setup stochastic buy signal lizard bullish hammer candlestick wid,positive,"['DGI', 'Gilligan', 'Lizard Bullish', 'Hammer']",['Lizard Bullish'],['Stochastic Buy Signal'],['Stochastic Buy Signal'],[],[]
314,"The record date for dividend distribution is March 14 , 2008 .",record date for dividend distribution be march,neutral,[],[],[],[],[],[]
315,( I&H ) in a move to enhance growth .,ih move to enhance growth,positive,[],[],[],[],[],[]
316,"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",ebrd be use its own fund to provide million loan while b portion of million euro have be syndicate to two finnish commercial bank nordea bank finland plc million euro pohjola bank plc million euro,neutral,[],[],"['EBRD', 'Nordea Bank Finland Plc', 'Euros and Pohjola Bank Plc']","['Nordea Bank Finland Plc', 'EBRD']",[],[]
317,"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",stockholm march about cybercom cybercom group be hightech consultancy that offer global source for endtoend solution,neutral,[],[],['the Cybercom Group'],['the Cybercom Group'],[],[]
318,He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,he say he have be lose five family month to economy as many make alternative arrangement to save money,negative,[],[],[],[],[],[]
319,"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",milan afx italian shipping group grimaldi have increase its stake finnish company finnline to pct from pct hold june accord to news agency ansa,neutral,[],[],"['MILAN', 'AFX', 'Grimaldi', 'Finnlines']","['Grimaldi', 'AFX', 'MILAN', 'Finnlines']",[],[]
320,"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",comment deal shane lennon svp of marketing product development at gypsii say ?,neutral,['Shane Lennon'],['Shane Lennon'],['Marketing & Product Development'],['Marketing & Product Development'],[],[]
321,"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",external net sale from printing business fall by partly due to termination of printing contract between ilkkayhtyma print house iprint oy sector player hss media ab december fall print price,neutral,[],[],"[""Ilkka-Yhtyma 's"", 'HSS Media AB']","[""Ilkka-Yhtyma 's"", 'HSS Media AB']",[],[]
322,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",group intend to relocate warehouse office space loudeac saint marcel to morvillar east of country where it already operate hook manufacturing distribution unit,neutral,[],[],[],[],[],[]
323,"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",firm be headquarter vantaa southern finland have employee,neutral,[],[],[],[],[],[]
324,"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",at pm omx helsinki be pct low at omx helsinki be down pct at volume of mln eur,neutral,[],[],['the OMX Helsinki'],['the OMX Helsinki'],[],[]
325,"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",we be honor to be recognize by gartner as specialist business process modeling analysis company of many of large software vendor world,positive,[],[],"['Gartner', 'Business Process Modeling and Analysis']","['Gartner', 'Business Process Modeling and Analysis']",[],[]
326,"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",westpac banking corp be to issue benchmark year frn deal euro,neutral,['Euros'],[],['Westpac Banking Corp - be'],['Westpac Banking Corp - be'],[],[]
327,"Includes company and brand share data by category , as well as distribution channel data .",include company brand share datum by category as well as distribution channel datum,neutral,[],[],[],[],[],[]
328,For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,for new share subscribe with stock option all shareholder right commence from date which they be enter into trade register,neutral,[],[],['the Trade Register'],['the Trade Register'],[],[]
329,$AAPL price momentum weakening going into the close.,aapl price momentum weaken go into close,negative,[],[],[],[],[],[]
330,Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,through acquisition solteq expand its solution offering by microsoft dynamic business software product,positive,['Solteq'],[],['Microsoft'],['Microsoft'],[],[]
331,"The company 's profit totaled Ls 134,700 .",company profit total ls,neutral,[],[],[],[],[],[]
332,"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",leed be internationally recognize green building certification system develop by us green building council,neutral,['LEED'],[],['the U.S. Green Building Council'],['the U.S. Green Building Council'],[],[]
333,"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",however its market share shrink to per cent from per cent year early,negative,[],[],[],[],"['47.59 per cent', '48 per cent']","['47.59 per cent', '48 per cent']"
334,TalkTalk hires BAE Systems to investigate cyber attack,talktalk hire bae system to investigate cyber attack,negative,[],[],['BAE Systems'],['BAE Systems'],[],[]
335,"FTSE led lower by M&S, GlaxoSmithKline",ftse lead lower by ms glaxosmithkline,negative,['GlaxoSmithKline'],[],"['FTSE', 'M&S']","['FTSE', 'M&S']",[],[]
336,The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,exercise price of option be base safran software solution ' license maintenance sale as well as result of company,neutral,[],[],"[""Safran Software Solutions '""]","[""Safran Software Solutions '""]",[],[]
337,Full-year operating result for 2008 was 3.6 million negative .,fullyear operating result for be million negative,negative,[],[],[],[],[],[]
338,"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",company say production volume so far indicate circuit be capable of targeted output rate of tonne per day million tonne year,neutral,[],[],[],[],[],[]
339,"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",jun boy genius report deliver by newstex nokia nyse nok n huh ?,neutral,[],[],"['Nokia', 'NYSE', 'NOK', 'N78']","['N78', 'Nokia', 'NYSE', 'NOK']",[],[]
340,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",we have come out with decision which be base our preliminary economic operational environmental finding '' karvinen say,neutral,['Karvinen'],[],[],[],[],[]
341,"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",new majority owner of aspocomp thailand co ltd be certain private person belong to immediate circle of aspocomp present joint venture partner saha pathana interholde plc,neutral,['Aspocomp'],[],"['Aspocomp Thailand Co. , Ltd', 'Joint Venture', 'Saha Pathana Inter-Holding Plc']","['Joint Venture', 'Aspocomp Thailand Co. , Ltd', 'Saha Pathana Inter-Holding Plc']",[],[]
342,"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",some mln euro mln of base acquisition price be pay cash rest through subscription offering of total of new ixono share,neutral,[],[],['Ixonos'],['Ixonos'],['5.2'],['5.2']
343,"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",establish srv group be private finnish construction concern with operation finland baltic country russia,neutral,[],[],['the SRV Group'],['the SRV Group'],[],[]
344,The business section also includes Ahlstrom 's sustainability report .,business section also include ahlstrom sustainability report,neutral,[],[],['Ahlstrom'],['Ahlstrom'],[],[]
345,"+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",lemiste city be environment for knowledgebased economy provide work for people with total turnover of its company amount to eek bn '' say lo prnit chairman of supervisory board of lemiste city mainor,neutral,[],[],['Mainor'],['Mainor'],[],[]
346,Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,jacobs have be support storengy investment of develop storage site since as owner engineer,neutral,[],[],"['Jacobs', 'Storengy']","['Storengy', 'Jacobs']",[],[]
347,"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",company have early say that it be consider different strategic option for struggling lowcost mobile operator include divestment of its holding,neutral,[],[],[],[],[],[]
348,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",sainsbury asda tesco morrison all cut petrol price as oil fall,negative,['Morrisons'],[],"['Sainsbury', 'Asda', 'Tesco']","['Sainsbury', 'Asda', 'Tesco']",[],[]
349,Barclays sells benchmark indices unit to Bloomberg,barclays sell benchmark index unit to bloomberg,positive,[],[],['Bloomberg'],['Bloomberg'],[],[]
350,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,operate profit fourth quarter fall to eurm from eurm year early,neutral,[],[],[],[],[],"['EUR33m', 'EUR39m']"
351,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,finnish forestry company upmkymmene waste management company lassila tikanoja say jan they be plan to produce ethanol energy from commercial industrial waste,neutral,[],[],"['UPM-kymmene', 'Lassila & Tikanoja']","['UPM-kymmene', 'Lassila & Tikanoja']",[],[]
352,"ISMS does not disclose its financial results , the daily said .",ism do not disclose its financial result daily say,neutral,[],[],['ISMS'],['ISMS'],[],[]
353,"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",contract cover manufacture surfacetreatment installation of steel structure,neutral,[],[],[],[],[],[]
354,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,finnish metal industry solution supplier outotec oyj net profit rise to mln euro mln for first nine month of from mln euro mln for same period of,positive,[],[],[],[],"['$ 28.9 mln', '$ 72.5 mln', '20.1 mln euro', '50.4 mln euro']","['$ 28.9 mln', '$ 72.5 mln', '20.1 mln euro', '50.4 mln euro']"
355,"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",under deal know it pay sekm usd meur m cash stock,neutral,[],[],[],[],[],"['EUR8 .6 m', 'USD12 .8 m']"
356,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",for first nine month of company net profit rise to eurm from eurm for corresponding period of,positive,[],[],"['EUR41m', 'EUR30m']",[],[],"['EUR41m', 'EUR30m']"
357,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",aapl dma turn up macd crossover halfahair away weekly eod break out likely,positive,[],[],['EOD'],['EOD'],['$AAPL 50DMA'],[]
358,Protalix has $ 42 million in cash and no sales .,protalix have million cash no sale,neutral,[],[],['Protalix'],['Protalix'],['$ 42 million'],['$ 42 million']
359,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,that bearish outside day tuesday be significant day resistance still intact just my opinion sds,negative,[],[],['SDS'],['SDS'],[],[]
360,All rights reserved .,all right reserve,neutral,[],[],[],[],[],[]
361,"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",it be operate by nokia support by its nokia netact network service management system,neutral,[],[],"['Nokia', 'Nokia NetAct']","['Nokia NetAct', 'Nokia']",[],[]
362,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",mr priit kasak balti metsamasina owner say rakverebase company wish to increase valmet market share from to third couple of year,positive,"['Priit Kasak', ""Balti Metsamasina 's""]","[""Balti Metsamasina 's"", 'Priit Kasak']","['Rakvere', 'Valmet']","['Valmet', 'Rakvere']",[],[]
363,Shire Sees Baxalta Deal Closing as Expected After New Rules,shire see baxalta deal closing as expect after new rule,positive,[],[],['expect'],['expect'],[],[]
364,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,sainsbury cfo roger to replace home retail ceo walden,neutral,[],[],[],[],[],[]
365,"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",marathon now have percent stake plx it say accord to bloomberg,neutral,['Bloomberg'],[],['PLX'],['PLX'],[],[]
366,"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",simmon elect dcuc chairman portsmouth nhgordon simmons ceo of service credit union have be elect chairman of defense credit union council for term,neutral,"['PORTSMOUTH', 'N.H.-Gordon A. Simmons']",['N.H.-Gordon A. Simmons'],"['Service Credit Union', 'the Defense Credit Union Council']","['Service Credit Union', 'the Defense Credit Union Council']",[],[]
367,Sanoma News ' advertising sales decreased by 22 % during the year .,sanoma news ' advertising sale decrease by during year,negative,[],[],[],[],[],[]
368,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,pharmaceutical market czech republic global research datum service publish recently market analysis about pharmaceutical market czech republic,neutral,[],[],['Czech Republic Global Research & Data Services'],['Czech Republic Global Research & Data Services'],[],[]
369,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",finnish construction company yit be reduce number of startup of marketfinance residential unit to about from previously announce,neutral,[],[],['YIT'],['YIT'],[],[]
370,Cash Flow from Operations for the most recent quarter also reached a eight year low .,cash flow from operation for most recent quarter also reach eight year low,neutral,[],[],[],[],[],[]
371,"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",tietoenator be down pct to extend recent low after last week secondquarter report dealer say,negative,[],[],['TietoEnator'],['TietoEnator'],[],[]
372,The maritime administration said the ships had ignored warnings about the icy conditions .,maritime administration say ship have ignore warning about icy condition,negative,[],[],[],[],[],[]
373,Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,synergy pharma soar today positive phase result sgyp,positive,[],[],[],[],[],[]
374,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,operating profit rise to eur mn from eur mn corresponding period,positive,[],[],['EUR'],[],[],"['EUR 1.6 mn', 'EUR 1.1 mn']"
375,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",make matter more difficult company say it have be grapple with high oil gas price which have push up cost of energy raw material transportation,negative,[],[],[],[],[],[]
376,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",vrtx vertex monthly low hilower lo long term uptrend intract so far,positive,[],[],[],[],[],[]
377,Financial details were not disclosed .,financial detail be not disclose,neutral,[],[],[],[],[],[]
378,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",these include software development for internet mobile telephone content communication valueadde software financial service security application system integration electronic '' ebrd inform,neutral,[],[],['EBRD'],['EBRD'],[],[]
379,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",yit lodge counter claim against neste oil total some eurm primarily base work carry out under contract additional cost incur due to prolongation of project,neutral,['EUR25'],[],"['YIT', 'Neste Oil']","['YIT', 'Neste Oil']",[],['EUR25m']
380,Should You Follow Berkshire Hathaway Into Apple Stock?,should you follow berkshire hathaway into apple stock ?,neutral,[],[],[],[],[],[]
381,The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,total amount of subscription price be record fund for invest nonrestricted equity,neutral,[],[],[],[],[],[]
382,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",tsla th wave down hour chart hammer candle develop close to sma might be good spot for call,positive,[],[],[],[],[],[]
383,"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",strong growth be see new market russia czech republic slovakia,positive,[],[],['Slovakia'],['Slovakia'],[],[]
384,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,tower engineer have create degree westward lean four time inclination lean tower of pisa use diagrid structure that be align geometrically use tekla structure bim build information model software,neutral,[],[],['Tekla Structures BIM'],['Tekla Structures BIM'],[],[]
385,"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",amer which buy salomon from adidas october say job cut be aim at boost competitiveness,neutral,[],[],['Salomon'],['Salomon'],[],[]
386,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",acando ab acanb ss fall percent to kronor low close since dec,negative,[],[],"['Acando AB', 'ACANB SS']","['Acando AB', 'ACANB SS']",['13.35 kronor'],['13.35 kronor']
387,"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",with measure suominen corporation aim to ensure competitiveness of flexible packaging business long term,positive,['Suominen Corporation'],['Suominen Corporation'],['Flexible Packaging'],['Flexible Packaging'],[],[]
388,"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",ifhedieshedie bullhorn znga short be get nervous,positive,['ZNGA'],[],[],[],[],[]
389,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,financial statement release be available after publish company internet page at,neutral,[],[],['Company'],['Company'],[],[]
390,"The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com",world of glass be come to egypt we invite visitor from all around world to attend glass world exhibition register now at,neutral,[],[],['Register now'],['Register now'],[],[]
391,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",comparable operating profit total eur mn down from eur mn corresponding period represent of net sale,negative,[],[],"['EUR', 'EUR']",[],[],"['EUR 4.7 mn', 'EUR 5.1 mn']"
392,"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles .",most of raw material come from europe us be pay euro us dollar while sale take place ruble,neutral,[],[],[],[],[],[]
393,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",adpnews may finnish cutlery hand tool maker fiskar oyj abp hel fisas say today its net profit decline to eur million usd m first quarter of from eur million correspond,neutral,[],[],"['Fiskars Oyj Abp', 'FISAS', 'EUR 12.9 million', 'EUR']","['FISAS', 'Fiskars Oyj Abp']",[],"['USD 17m', 'EUR 17 million', 'EUR 12.9 million']"
394,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum of new share can far be subscribe for by exercise b option under stock option plan,neutral,[],[],[],[],[],[]
395,It inspects the companys strategic strengths and weaknesses .,it inspect companys strategic strength weakness,neutral,[],[],[],[],[],[]
396,No planned closing date was provided .,no planned closing date be provide,neutral,[],[],[],[],[],[]
397,"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",lemminkainen group headquarter helsinki finland operate all sector of construction industry civil engineering building contract technical building service building material industry,neutral,[],[],['the Lemminkainen Group'],['the Lemminkainen Group'],[],[]
398,The implementation of the deal is subject to the approval by the Finnish Competition Authority .,implementation of deal be subject to approval by finnish competition authority,neutral,[],[],['the Finnish Competition Authority'],['the Finnish Competition Authority'],[],[]
399,"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",microsoft also churn up its courtship agree to use navteq mapping service which be offer by company nokia buy for billion few year ago,positive,[],[],"['Microsoft', 'Navteq', 'Nokia']","['Navteq', 'Nokia', 'Microsoft']",['$ 8.1 billion'],['$ 8.1 billion']
