,Sentence,PreprocessedSentence,Sentiment
333,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",group intend to relocate warehouse office space loudeac saint marcel to morvillar east of country where it already operate hook manufacturing distribution unit,neutral
334,"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",firm be headquarter vantaa southern finland have employee,neutral
335,"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",at pm omx helsinki be pct low at omx helsinki be down pct at volume of mln eur,neutral
336,"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",we be honor to be recognize by gartner as specialist business process modeling analysis company of many of large software vendor world,positive
337,"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",westpac banking corp be to issue benchmark year frn deal euro,neutral
338,"Includes company and brand share data by category , as well as distribution channel data .",include company brand share datum by category as well as distribution channel datum,neutral
339,For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,for new share subscribe with stock option all shareholder right commence from date which they be enter into trade register,neutral
340,$AAPL price momentum weakening going into the close.,aapl price momentum weaken go into close,negative
341,Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,through acquisition solteq expand its solution offering by microsoft dynamic business software product,positive
342,"The company 's profit totaled Ls 134,700 .",company profit total ls,neutral
343,"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",leed be internationally recognize green building certification system develop by us green building council,neutral
344,"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",however its market share shrink to per cent from per cent year early,negative
345,TalkTalk hires BAE Systems to investigate cyber attack,talktalk hire bae system to investigate cyber attack,negative
347,"FTSE led lower by M&S, GlaxoSmithKline",ftse lead lower by ms glaxosmithkline,negative
348,The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,exercise price of option be base safran software solution ' license maintenance sale as well as result of company,neutral
349,Full-year operating result for 2008 was 3.6 million negative .,fullyear operating result for be million negative,negative
350,"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",company say production volume so far indicate circuit be capable of targeted output rate of tonne per day million tonne year,neutral
351,"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",jun boy genius report deliver by newstex nokia nyse nok n huh ?,neutral
352,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",we have come out with decision which be base our preliminary economic operational environmental finding '' karvinen say,neutral
353,"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",new majority owner of aspocomp thailand co ltd be certain private person belong to immediate circle of aspocomp present joint venture partner saha pathana interholde plc,neutral
354,"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",some mln euro mln of base acquisition price be pay cash rest through subscription offering of total of new ixono share,neutral
355,"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",establish srv group be private finnish construction concern with operation finland baltic country russia,neutral
356,The business section also includes Ahlstrom 's sustainability report .,business section also include ahlstrom sustainability report,neutral
357,"+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",lemiste city be environment for knowledgebased economy provide work for people with total turnover of its company amount to eek bn '' say lo prnit chairman of supervisory board of lemiste city mainor,neutral
358,Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,jacobs have be support storengy investment of develop storage site since as owner engineer,neutral
359,"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",company have early say that it be consider different strategic option for struggling lowcost mobile operator include divestment of its holding,neutral
360,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",sainsbury asda tesco morrison all cut petrol price as oil fall,negative
361,Barclays sells benchmark indices unit to Bloomberg,barclays sell benchmark index unit to bloomberg,positive
362,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,operate profit fourth quarter fall to eurm from eurm year early,neutral
363,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,finnish forestry company upmkymmene waste management company lassila tikanoja say jan they be plan to produce ethanol energy from commercial industrial waste,neutral
364,"ISMS does not disclose its financial results , the daily said .",ism do not disclose its financial result daily say,neutral
365,"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",contract cover manufacture surfacetreatment installation of steel structure,neutral
366,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,finnish metal industry solution supplier outotec oyj net profit rise to mln euro mln for first nine month of from mln euro mln for same period of,positive
367,"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",under deal know it pay sekm usd meur m cash stock,neutral
368,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",for first nine month of company net profit rise to eurm from eurm for corresponding period of,positive
369,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",aapl dma turn up macd crossover halfahair away weekly eod break out likely,positive
370,Protalix has $ 42 million in cash and no sales .,protalix have million cash no sale,neutral
371,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,that bearish outside day tuesday be significant day resistance still intact just my opinion sds,negative
372,All rights reserved .,all right reserve,neutral
373,"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",it be operate by nokia support by its nokia netact network service management system,neutral
374,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",mr priit kasak balti metsamasina owner say rakverebase company wish to increase valmet market share from to third couple of year,positive
375,Shire Sees Baxalta Deal Closing as Expected After New Rules,shire see baxalta deal closing as expect after new rule,positive
376,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,sainsbury cfo roger to replace home retail ceo walden,neutral
377,"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",marathon now have percent stake plx it say accord to bloomberg,neutral
378,"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",simmon elect dcuc chairman portsmouth nhgordon simmons ceo of service credit union have be elect chairman of defense credit union council for term,neutral
379,Sanoma News ' advertising sales decreased by 22 % during the year .,sanoma news ' advertising sale decrease by during year,negative
380,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,pharmaceutical market czech republic global research datum service publish recently market analysis about pharmaceutical market czech republic,neutral
381,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",finnish construction company yit be reduce number of startup of marketfinance residential unit to about from previously announce,neutral
382,Cash Flow from Operations for the most recent quarter also reached a eight year low .,cash flow from operation for most recent quarter also reach eight year low,neutral
383,"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",tietoenator be down pct to extend recent low after last week secondquarter report dealer say,negative
384,The maritime administration said the ships had ignored warnings about the icy conditions .,maritime administration say ship have ignore warning about icy condition,negative
385,Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,synergy pharma soar today positive phase result sgyp,positive
386,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,operating profit rise to eur mn from eur mn corresponding period,positive
387,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",make matter more difficult company say it have be grapple with high oil gas price which have push up cost of energy raw material transportation,negative
388,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",vrtx vertex monthly low hilower lo long term uptrend intract so far,positive
389,Financial details were not disclosed .,financial detail be not disclose,neutral
390,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",these include software development for internet mobile telephone content communication valueadde software financial service security application system integration electronic '' ebrd inform,neutral
391,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",yit lodge counter claim against neste oil total some eurm primarily base work carry out under contract additional cost incur due to prolongation of project,neutral
392,Should You Follow Berkshire Hathaway Into Apple Stock?,should you follow berkshire hathaway into apple stock ?,neutral
393,The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,total amount of subscription price be record fund for invest nonrestricted equity,neutral
394,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",tsla th wave down hour chart hammer candle develop close to sma might be good spot for call,positive
395,"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",strong growth be see new market russia czech republic slovakia,positive
396,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,tower engineer have create degree westward lean four time inclination lean tower of pisa use diagrid structure that be align geometrically use tekla structure bim build information model software,neutral
397,"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",amer which buy salomon from adidas october say job cut be aim at boost competitiveness,neutral
398,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",acando ab acanb ss fall percent to kronor low close since dec,negative
399,"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",with measure suominen corporation aim to ensure competitiveness of flexible packaging business long term,positive
400,"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",ifhedieshedie bullhorn znga short be get nervous,positive
401,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,financial statement release be available after publish company internet page at,neutral
402,"The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com",world of glass be come to egypt we invite visitor from all around world to attend glass world exhibition register now at,neutral
403,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",comparable operating profit total eur mn down from eur mn corresponding period represent of net sale,negative
404,"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles .",most of raw material come from europe us be pay euro us dollar while sale take place ruble,neutral
405,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",adpnews may finnish cutlery hand tool maker fiskar oyj abp hel fisas say today its net profit decline to eur million usd m first quarter of from eur million correspond,neutral
406,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum of new share can far be subscribe for by exercise b option under stock option plan,neutral
407,It inspects the companys strategic strengths and weaknesses .,it inspect companys strategic strength weakness,neutral
408,No planned closing date was provided .,no planned closing date be provide,neutral
409,"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",lemminkainen group headquarter helsinki finland operate all sector of construction industry civil engineering building contract technical building service building material industry,neutral
410,The implementation of the deal is subject to the approval by the Finnish Competition Authority .,implementation of deal be subject to approval by finnish competition authority,neutral
411,"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",microsoft also churn up its courtship agree to use navteq mapping service which be offer by company nokia buy for billion few year ago,positive
412,The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,geosolution team far provide intriguing new technology combine gps mobilebase technology together with internetbase social networking,neutral
413,"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",c expo be signature show dongguan which be support by dongguan municipal government every year feature computer accessory software communication network product,neutral
414,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,pharmaceutical poland this brandnew market analysis give clear overview of actual situation future outlook of pharmaceutical market poland,neutral
415,"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",trading new share which have right to dividend other distribution of fund start exchange helsinki tomorrow,neutral
416,The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,dualfuel engine of vessel can operate liquefy natural gas lng with low emission,neutral
417,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",among other finnish share trade us stora enso close pct lower at eur upmkymmene be up pct at eur metso be down pct at eur,neutral
418,"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",addition to presentation hold by president ceo kai telanne cfo tuomas itkonen participant have opportunity to discuss with other member of company management,neutral
419,"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",change holding accordance with chapter section of finnish security market act be describe below,neutral
420,"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",with capman as partner we be able to far develop our business continue to focus provide quality restaurant service for our customer '' say christopher wynne ceo of papa john russia,positive
421,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,crane would be instal onboard two freighter order by singaporean ship owner masterbulk,neutral
422,The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,business to be divest generate consolidated net sale of eur million annually currently have some employee,neutral
423,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",adpnews feb finnish real estate investor sponda oyj hel sdav say today that it slip to net loss of eur million usd m from profit of eur million,neutral
424,"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",company which have eur bn asset count among its five large shareholder finnish insurer ilmarinen varma as well as finnish state pension fund ver,neutral
425,"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",addition further employee can be lay off until further notice whole workforce can be lay off for short period if need,neutral
426,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,chessnwine iwm minute chart small cap threaten descend triangle breakdown under,negative
427,CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,corporate it update c m communications ltd finnish technology group teleste corporation omx helsinki tltv report wednesday february operating profit of eur m net sale of eur m for year,neutral
428,"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",stockholmbase nordea bank sto nda say yesterday it have hire casper von koskull to lead its corporate merchant banking capital market unit effective september,neutral
429,The total need for staff cuts corresponds to about 300 man-years .,total need for staff cut correspond to about manyear,negative
430,Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,finnish fiber plastic product maker suominen corporation say its net loss narrow to mln euro mln first nine month of from mln euro mln same period of,positive
431,CompaniesFresnillo shares jump 8% as silver price breaks $21,companiesfresnillo share jump as silver price break,positive
432,Bluewin Security is available as a monthly subscription .,bluewin security be available as monthly subscription,neutral
433,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",operating profit be eur mn up from eur mn,positive
434,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,finnish raisio diagnostic be launch new dnabase quick test to ensure safety of food,positive
435,The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,nonrecurre cost cause to talentum premedia business area by restructuring amount to mln euro mln be include company financial result for second quarter of,neutral
436,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",finnish software developer basware oyj say november its us subsidiary basware inc win order to provide software for contract lifecycle management to unnamed us medical technology company,positive
437,The chain is to unite 45-50 centres by the end of 2008 .,chain be to unite centre by end of,neutral
438,"The important thing now is to keep the bank 's existing 15,000 customers .",important thing now be to keep bank exist customer,neutral
439,The prices of stainless steel also rose in Europe .,price of stainless steel also rise europe,neutral
440,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",sweden gallerix accumulate sek denominate sale be down eur denominate sale be up,neutral
441,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,isrg isrg short,negative
443,"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",total of new citycon share with nominal value of eur per share be subscribe april exercise abc option base company stock option plan,neutral
444,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,aapl I be sure those short be hold their breath hope for miracle lol,positive
445,`` Management decided at the end of 2005 to increase cathode copper capacity .,management decide at end of to increase cathode copper capacity,neutral
446,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',image datum produce by browser at phone server be convert into bitmapped image that be send to handset for display '',neutral
447,Shire says internal synergy goals from Baxalta deal higher,shire say internal synergy goal from baxalta deal higher,positive
448,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,one of large project of magazine division of sanomawsoy sanoma magazine international become launch of russian magazine gloriya,neutral
449,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,finnish airline finnair be start temporary layoff of cabin crew february,neutral
450,The sellers were the founders of the company .,seller be founder of company,neutral
451,"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",foodservice consumer good market be serve by approximately people manufacturing unit several sale office country,neutral
452,"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses .",acquisition do not have to be from frozen food fish sector as long as it have synergy with lnnen tehtaat other business,neutral
453,$GNRC finding support at its 10-day line so far.,gnrc find support at its day line so far,positive
454,"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",under transaction agreement metsaliitto purchase of metsabotnia share from upm from mreal,neutral
455,"Britain's FTSE falls back with Ashtead, commodities under pressure",britain ftse fall back with ashtead commodity under pressure,negative
456,Sales by Seppala diminished by 6 per cent .,sale by seppala diminish by per cent,neutral
457,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,bbry bye bye sammy hello bb sound like we see some green tomorrow,positive
458,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",as capacity be cut with passenger load factor be down percentage point,negative
459,"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",rockwell collin be provider of flight deck cabin information management solution for business aircraft operator,neutral
460,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",floor area of yliopistonrinne project be sq m building gross area total sq m total of facility have be let,neutral
461,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,nflx vision short term consolidation then movement high,positive
462,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",theodosopoulos say tellab could be of value to nokia siemen nortel give its lead supply status '' with verizon along with highgrowth product,positive
463,"In his current position , Manty has worked since 1996 .",his current position manty have work since,neutral
464,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,with new production plant company would increase its capacity to meet expect increase demand would improve use of raw material therefore increase production profitability,positive
465,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,analyst view astrazeneca share have see recent volatility,negative
466,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,earning per share eps drop to eur from eur,neutral
467,"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .",after transaction tikkurila have no powder coatingsrelate operation '' company say,neutral
468,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",be arm holdings plc domino pizza group plc asos plc musthave growth stock ?,neutral
469,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",pearl plaza llc joint venture of srv shanghai industrial investment holding co ltd have conclude investment decision construction of first phase of shopping center saint petersburg russia,positive
470,The measures result from decreased demand in technical design and product information .,measure result from decrease demand technical design product information,neutral
471,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group aktia report operate profit of eur mn januaryseptember up from eur mn corresponding period,positive
472,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",key price to watch nflx off previous double top reject,negative
473,Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,finnish glass technology company glaston oyj abp net profit decrease to mln euro mln for first nine month of from mln euro mln for same period of,neutral
474,City spirits sink after Diageo comes up short with sales slide,city spirit sink after diageo come up short with sale slide,negative
475,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,operate loss increase to eur mn from loss of eur mn,neutral
476,"ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device .",alexandria va june michael g williams of newbury park calif have develop network device,neutral
477,Olvi has posted a strong set of figures for the first six months of this year .,olvi have post strong set of figure for first six month of this year,positive
478,StanChart and RBS struggle in Bank of England stress tests,stanchart rbs struggle bank of england stress test,negative
479,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",beginning of this year wartsila have secure order to deliver four gasfuelle main engine propulsion machinery for same vessel,positive
480,"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",januarynovember group sale total eur mn which be drop of from same period of,negative
481,"GlaxoSmithKline targets growth across units, scraps ViiV IPO",glaxosmithkline target growth across unit scrap viiv ipo,positive
482,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,bhp billiton share price brazil to sue samarco for bn,negative
483,"It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark .",it come complete with lcd touch screen system for selection of your choose function price start at around pound mark,neutral
484,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,revenue quarter fall percent to euro billion compare to year early,neutral
485,"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",after split company would have serie share series k share,neutral
486,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",le coq special be develop for bicentenary of company trade mark brewer say,neutral
487,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,arcelormittal chief executive officer lakshmi mittal have already cut output at some furnace,neutral
488,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,operating profit fall to eur mn from eur mn,neutral
489,The bridge is part of the highway 14 development project .,bridge be part of highway development project,neutral
490,"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",kesko agro lietuva agricultural machinery grain trader another member of kesko group boost its sale by percent to million euro vat inclusive,positive
491,"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",adpnew dec finnish cutlery hand tool maker fiskar oyj abp hel fisas say today that it make redundant total of office management staff member of its subsidiary iittala group ltd,negative
492,Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,metso foundry jyvaskyla oy discontinue production this line by september,neutral
493,The sale price was not disclosed .,sale price be not disclose,neutral
494,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",helsinki afx retail wholesale group kesko report net sale of mln eur for february increase of pct yearonyear,positive
495,"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force .",february new wording of identity document act that make mobile i d stateapprove electronic document as of february st enter into force,neutral
496,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",antti orkola president of kemira growhow industrial solution unit tell thomson financial news company have put off open mine as price of phosphate have be quite depressed for long time ' ',negative
498,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",february finlandbase steel maker rautaruukki oyj hel rtrk ruukki say today it slip to largerthanexpected pretax loss of eurm fourth quarter of from yearearli profit of eurm,negative
499,"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",sale of savcor face to cencorp result profit loss which can not yet be determine owe to factor include valuation of consideration share to be receive prevail exchange rate,neutral
500,The acquisition of +àlandsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,acquisition of landsbanken sverige burden performance with eur mn,neutral
501,It is the first application in the market for invoice and purchase requisition approval with a mobile device .,it be first application market for invoice purchase requisition approval with mobile device,neutral
502,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today report eps of eur for increase over eps of eur,positive
503,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,easyjet dismisse lufthansa lowcost plan contest for germany,negative
504,Orders received grew by 55 % year-on-year to EUR732m .,order receive grow by yearonyear to eurm,positive
505,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",januaryaugust import by sea container lorry trailer unit fall by export by from corresponding period,negative
506,"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",finnish broadband datum communication system provider teleste oyj hel tltv say yesterday it return to net profit of eur million usd m for first nine month of versus net loss of eur for same period of,positive
507,"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",adpnew dec norwegian financial service group sparebank gruppen as osl sbgrp say its board of director appoint today jarle haug manage director of its claim collection subsidiary sparebank gruppen finan,neutral
